PRF,Duty_factor,Frequency,Radar_vel,Target_vel,Radar_alt,Target_alt,Target_rcs,Clutter_rcs_sd,Slant_range,N_pulses,N_targets,Target2_vel,Target2_alt,Target2_rcs,Slant_range2
97473.89595,0.326798714,9407928930,58.911835100000005,140.6188936,6886.815798999999,4064.7801210000002,54.19832094,131.502598,18.59019141,64,1,283.3245311,9548.746535,86.41811336,85.2223282
99723.66107,0.494436958,5569328778,162.65600780000003,180.9722929,9240.404495,5056.046257,44.03575319,68.97769136,14.96292555,192,2,193.48282680000003,2950.308048,47.37144266,42.04243939
99667.77466,0.426033731,9305985308,61.74523477,143.2492614,8410.394286,8781.730399,44.80910139,90.16468372,49.03862648,192,0,277.0951004,9121.213423000001,96.68370412,20.13686422
73945.52632,0.465828962,9839962915,119.97832050000001,131.7776691,6058.770918,7095.008640000001,12.90320462,55.29339488,41.99260653,256,0,285.35024710000005,6285.686103,92.11159288,64.50076209
96518.85037999999,0.49628933399999997,7547726530,77.72748691,284.5047964,9343.112228,7524.73757,48.3476835,56.48553244,94.79342261,128,2,243.96311719999997,4916.4639799999995,11.56008228,34.6238904
88679.86415,0.364700291,9482979970,129.4483459,285.79986339999994,9012.431786,5219.136638,12.4495558,52.62466088,60.13193689999999,128,1,278.9947272,8119.679877,48.57520307,65.83647702
90581.05547,0.32567709699999997,6888235771,61.65378717,219.635679,9830.412274,1514.310366,38.51564718,51.7566165,73.23734525,192,1,155.44878500000002,5412.129775,50.51017879,48.7425525
78730.14428,0.451420316,9019511849,149.731906,230.51251569999997,5797.6714409999995,9354.079658,46.41364768,57.56064583,18.40777608,256,1,56.25952445,7005.451722,24.066520399999998,26.271937599999998
87378.05852,0.016685727,9988527686,50.81571973,128.7731564,8927.712629000001,6569.022175,27.41234543,72.59457014,30.34985189,256,2,58.16382797,6427.31326,98.16006934,30.33370632
79779.53472000001,0.479625751,8959763380,65.79068248,266.9562876,6700.901522,1025.7627320000001,61.91673443,77.50507442,46.03461677,64,2,147.8088093,7475.839292000001,88.47606267,42.18288014
81130.2559,0.353910865,9360172955,107.0421736,153.33429030000002,9836.971002,9997.265852,51.89665862,70.06917494,60.82742655,64,0,60.54519487,8971.894274,42.88960817,10.29095045
75143.50678,0.449749336,8180438426,53.58223877,197.061938,4685.039196,2914.082448,41.47381817,62.85983744,30.69096838,128,0,274.39259710000005,9819.921779,14.62203523,68.51087577
85164.02377,0.47742960700000003,9542186824,50.58689154,97.67850585,9262.197097,3917.3461159999997,41.12619735,53.50161068,51.76827646,128,0,168.5757926,3243.004641,95.07621805,22.08487059
82362.4672,0.278293793,9993992284,130.465128,71.79361643,9733.145558,8281.856416,56.01969224,61.57236831,12.15787656,64,2,95.28356249,7045.658469,69.83215874,92.2238309
88933.50688,0.477024785,9658112699,297.5746035,152.0542862,6394.987839,5298.851119,14.432388000000001,102.2676304,11.00572204,256,2,144.5827499,6333.95136,33.77731869,38.11035368
98506.98931,0.471917549,9205334227,138.5900744,79.00382061,7081.494097,4329.805814,84.07183206,55.49111371,28.44898114,128,1,70.85614853,5817.74499,92.28340967,82.5572245
97810.45593,0.45572813,8466496124,98.83891356,81.40768733,7947.753551000001,9873.575079,28.5881124,62.36567459,17.97387076,192,2,159.9300595,2250.522836,89.48211525,92.83468863
99372.54257,0.354327692,9009520225,279.6370604,282.2262376,8249.184189,3957.326596,15.4140622,59.98400703,30.47223023,64,0,175.1230219,2563.842436,67.529359,19.79423114
92521.70587,0.47007821899999996,9339512817,157.9041811,205.30094119999998,4324.0477439999995,1243.60148,43.17647904,63.31757234,49.164541,256,1,252.62941519999998,9839.690734,47.94050042,83.76986898
96505.68326,0.48629086,7992957173,181.7694606,205.97387369999998,5834.272709000001,4204.442224,86.88493457,51.34185639,18.02596819,128,2,264.4480001,9282.244173000001,48.36146806,70.97100909999999
90783.91593999999,0.329297341,8620542207,185.1183655,182.1414645,8972.474554999999,8764.620170999999,95.69694504,54.58069272,38.03202598,192,0,189.6061893,3357.021808,27.27568242,68.25602546
95932.57341,0.33053822,8328015375,155.18906719999998,149.2062272,9372.67542,9904.500245000001,12.77968023,144.8593688,34.535148299999996,192,1,192.1433321,5160.294076,75.21048959999999,35.19774928
94979.62187,0.401873208,8674316193,62.277523800000004,280.25075510000005,4285.2655270000005,7812.748797,95.92171478,52.33682993,12.66518495,256,0,134.3434269,2515.686689,84.34513724,12.99813253
90135.54655,0.49346226299999996,9020712816,133.7494354,104.0132607,9443.951135,6201.236870000001,93.96821969,97.5264157,18.0491572,64,1,287.4189137,6017.266164,19.58097616,87.1341461
67254.34668999999,0.463211924,9765087308,52.45379927,227.60114109999998,7066.586165000001,5149.058104,66.36437871,60.38359774,11.45399785,64,2,253.74042180000004,8790.457647,86.85778191,32.03614997
69922.89082999999,0.45060764299999995,9292990021,159.8681594,119.0207652,9755.154341,9519.965798000001,62.83507246,93.12918162,10.00005056,128,0,221.26791809999997,5301.984493999999,24.7756331,87.06895551
99753.67325,0.41430656299999996,9752103083,297.82957969999995,134.7428746,7293.650087000001,4377.006913,94.54701054,51.49301346,29.66065864,256,0,289.70208310000004,7873.276598,80.60529891,95.48005281
71568.7643,0.47585063299999997,7673303518,270.09425350000004,74.76818905,9697.638026999999,7073.130947,38.25779407,107.1656896,57.47876735,192,1,240.3761955,6726.025401000001,48.0673179,75.15176378
81851.56902000001,0.488665552,9499285090,297.55653,55.79403676,7813.741098,7562.594711,69.93414265,116.0283733,46.19661597,128,2,166.79369509999998,1038.521974,21.22008141,53.39649339
88289.81599999999,0.277524011,9161050746,276.8127756,209.8252165,6314.3844579999995,9999.578456000001,11.98542476,50.18596415,15.81177513,64,0,211.34964900000003,3215.2520210000002,21.38741772,72.60780958
77520.19725,0.469560949,8289312405,207.0807392,234.1902139,8650.042468000001,9224.522656000001,12.65493515,52.33488789,47.41535554,192,0,209.3938663,9550.31505,18.354857100000004,11.26664526
92990.4004,0.405000449,9102155680,227.2726628,237.852549,9417.711008,1064.693882,71.00215842,62.95449995,27.20438584,64,1,231.31351040000004,9515.768392,89.52759409,94.43604982
85870.69794,0.48731731799999994,6805333345,106.3919835,297.53625980000004,7538.072556,4672.232234,97.78395575,56.3697235,12.81886397,192,2,297.35544889999994,4014.4152270000004,92.17335946,11.16555599
95063.63757,0.48411212200000003,7184899407,284.2732456,211.27944989999997,6347.696896,1215.98983,11.42815679,52.15683105,38.43922862,128,1,250.6406827,6181.894458,96.15061736,11.82238758
85045.06431,0.466302512,9423791855,185.2510615,145.855477,6913.205095,9963.3557,96.31652183,63.96366673,13.63045748,256,1,167.9818001,8593.868759,52.26526691,19.64731906
87661.38256,0.48104043399999996,9969738072,237.30276800000001,265.0990667,2897.638981,5407.839852,72.33835424,54.03974481,16.89861923,256,2,146.05511380000002,7028.195471999999,64.25590626,88.11979279
98805.23767,0.327717432,4970776759,70.20004148,291.0454972,5928.075916,6985.311822,57.46516496,110.71424499999999,13.49995013,192,2,195.84529540000003,5192.021973,29.1031549,70.21782849
96783.67353,0.48176205200000005,3831171989,197.9323645,185.70504119999998,9443.901415999999,8106.88751,44.85178314,58.30547270000001,53.20040768,64,1,148.5721475,1193.194309,43.50075770000001,41.62837094
91522.54441,0.23260088899999998,9481306005,160.2778927,176.7503296,9542.635825,6598.436792,39.55458494,142.74793390000002,21.37923465,128,0,289.4923895,4502.657086,77.64412479,97.93007265
71003.26608,0.053915707,5966695201,131.25221090000002,283.3245311,9989.157605,9225.71898,18.34948567,61.30680665,14.974917300000001,64,0,96.36602375,8813.656046,12.9471207,77.92411041
80091.04752000001,0.452970548,7700915269,58.29165286,186.47031040000002,9945.118539000001,8077.598585,29.67549958,107.6650679,36.20658281,64,2,182.3701831,9124.227378,56.88446537,17.43301093
74394.91261,0.15367709599999999,9534357282,61.214377500000005,279.64748050000003,5699.254918,3060.695286,22.09537686,65.92120764,27.076433899999998,256,1,277.5012792,6934.145344,19.68653795,74.35709708
72515.48387000001,0.185206855,3083330320,206.9853999,131.3999617,6213.634454999999,6346.726424,98.74274464,50.02561242,37.04287771,192,1,164.0123305,4325.828063,37.01135098,97.98858340000001
99541.82252,0.27509889,5101454669,224.46186060000002,283.1884282,7725.832842,7863.820626000001,10.6130652,61.37405542,32.93798621,128,1,113.40046670000001,2123.162473,23.52757851,62.73991946
74602.0669,0.30372563,6376114550,71.73834453,52.07157798,9105.252222,9395.786228,44.82154177,50.60176554,60.6253941,256,0,134.7754192,9766.363267,89.54763374,95.05434788
83699.95636,0.494099374,5366270262,65.15678378,183.590334,4454.5780429999995,5241.422757,46.58260771,58.45061429999999,12.34091806,256,2,265.0276855,4322.621042,38.03478311,68.53898968
99306.02665,0.20901811899999997,3952808190,121.2062103,177.6287235,9951.411497,6270.139968,74.73196027,68.60536102,10.2687848,128,2,280.6961525,7482.156615000001,51.85935121,10.45386594
65000.112310000004,0.334515462,5750730899,138.9575612,189.1262908,7992.502621,1109.564944,32.78284737,140.55587169999998,24.7082483,192,0,189.19240269999997,5582.0767670000005,92.00890917,45.47356652
99722.74221,0.302979681,1095407172,145.0788074,73.74600678,6109.005209,1094.8761220000001,96.81733861,53.692985,10.7436272,256,0,218.3489393,1516.5347789999998,24.39395961,97.1341357
93937.96711,0.292045944,1044450425,63.74884472,80.62645429,7254.289822,2025.0662960000002,25.43552994,56.13785581,40.88382906,64,2,149.1886372,7709.297734000001,29.53994815,16.77696842
70211.23894,0.455897444,1061050421,51.9965949,270.1167172,9330.686329,6048.901178,59.522898399999995,101.992186,19.22126511,192,0,297.3135346,1072.165775,94.13458164,48.69590924
99135.56002,0.48326040600000003,2511707532,57.46468003,183.67517759999998,6093.328704,9463.646479,93.55644817,113.32720390000001,53.69741365,128,1,284.5410417,5681.866327000001,17.94803106,89.34136101
91950.62437,0.466590486,1415638790,100.8249191,149.0326153,9531.018939,5054.371891,97.83153585,92.18332261,44.70502219,64,1,218.0751397,7050.245951999999,72.93389596,82.88012586
72526.2607,0.240046641,1045996700,60.28292041,284.58223460000005,7824.956411,6102.786953,82.88029502,134.9533856,49.76826291,128,0,114.08125890000001,5181.134077000001,41.85085956,67.92654854
82572.303,0.37724148,1074179510,63.80578172,54.27274114,9854.424412999999,2994.5821309999997,17.25056656,86.05896344,13.17862622,256,2,65.32517401,1264.953267,33.54130008,42.71772369
83767.25988,0.323690607,3259656985,153.7887015,292.0410485,9181.588776,6185.505091,87.13059336,136.1008664,17.36752204,192,1,216.43558560000002,7348.153554,97.21831805,77.04837035
98310.2644,0.308724583,1440377002,181.63280680000003,288.72235980000005,9518.647098000001,1041.34904,76.67900898,60.92942547,29.7935016,128,2,214.81832450000002,3024.558448,96.55823776,84.39270026
79579.25196000001,0.325190045,1468671415,71.42131821,216.5075181,9301.053173999999,2263.385201,32.23931276,128.9980402,46.27452834,192,2,68.00192447,6995.819441,17.72792891,10.21146856
76052.96566,0.414351158,1506135773,50.38799186,292.1691503,8655.879942,6754.22907,17.64626802,62.08572293,12.32797909,256,1,224.4587171,7937.919475,75.24202506,74.05269717
99042.75277,0.461209855,1146544502,71.62173198,142.1510189,7801.738715,8134.489801999999,63.13327113,106.4226067,48.23665472,64,0,235.85220180000002,2394.419641,89.76397261,70.45065604
65910.19379,0.260171413,1883747670,193.82429299999998,165.47110080000002,9766.80308,1638.341793,13.71481606,50.48198731,34.6238904,64,2,262.6320938,1861.616957,14.69189128,49.01317447
78272.99772,0.381116615,3781425517,53.47927393,294.69021760000004,9612.26879,8407.77295,42.71135825,59.92288501,92.99611504,128,2,253.85849219999997,9669.394907,99.43233865,18.40777608
93697.50981,0.471139839,3113677749,187.557322,130.3902128,9240.249285,9693.337078,86.77026499,103.38436779999999,95.66083222,128,0,279.8226556,4276.738826,75.88862187,69.14596825
